Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
108894298039380,Milojko Spajić,Milojko Spajić - Pokret Evropa sad,1177,13
102237614895736,Socijalistička narodna partija Crne Gore,Socijalistička narodna partija Crne Gore,847,24
1420588184916754,Aleksa Becic - Demokrate - Demokratska Crna Gora,Aleksa Becic - Demokrate - Demokratska Crna Gora,839,18
120891932822500,За будућност Црне Горе,Za budućnost Crne Gore,811,41
102730115711909,Pokret Evropa sad,Pokret Evropa sad,486,21
100514562572464,Mi Možemo,Mi možemo,290,9
1496330687264500,Dritan Abazović,Dritan Abazović,281,7
313006358903165,Građanski pokret URA,Građanski pokret URA,264,10
100204913096283,Aleanca Shqiptare MNE,Forca e Re Demokratike,218,17
100312752986062,Nikola Đurašković,Nikola Đurašković,202,8
69215616760,SDP i Građani - Svim srcem za Cetinje,Socijaldemokratska partija Crne Gore - SDP,180,6
178671462179370,Demokratska partija socijalista Crne Gore,DPS Crne Gore,156,1
1496330687264500,Dritan Abazović,Dritan Abazovic,154,5
819639921464707,Socijaldemokrate Crne Gore,Socijaldemokrate Crne Gore,148,16
58776108439,Socijaldemokratska partija Crne Gore - SDP,SDP - Za NAŠU KUĆU,139,11
236694586475080,Standard,Standard,≤100,4
638633769597292,Nik Gjeloshaj,Nik Gjeloshaj,≤100,13
293901977685160,Luka Rakčević,Građanski pokret URA,≤100,2
1594195590882320,DEMOS - Miodrag Lekić,DEMOS - Miodrag Lekić,≤100,6
730136330426990,Bošnjačka stranka,Bošnjačka stranka,≤100,20
119574804749171,Aktuelno,Aktuelno,≤100,1
100445002726288,Omer Bajraktari,Omer Bajraktari,≤100,6
513531212081016,NVO MANS,NVO MANS,≤100,3
116109739824845,Vladislav Dajković,Vladislav Dajković,≤100,5
1508488476138038,Forca E Re Demokratike,Forca e Re Demokratike,≤100,1
1676159402708570,Hrvatska građanska inicijativa,Hrvatska građanska inicijativa,≤100,7
106620772324031,Vladimir Martinović,Vladimir Martinovic,≤100,7
313006358903165,Građanski pokret URA,These ads ran without a disclaimer,≤100,1
252814308920994,Digital Forensic Center - DFC,Digital Forensic Center,≤100,4
398402497658241,Savremena Karijatida,Portal Analitika,≤100,1
274469272593718,Gradjanska alijansa,Gradjanska alijansa,≤100,1
103391235323163,Ismar Ćorović,Ismar Corovic,≤100,1
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,3
106519341307340,Inicijativa Direktne Demokratije-IDD,Borislav Đurišić,≤100,1
104087302472836,Pokret za Pljevlja - Prava Crna Gora,Pokret za Pljevlja - Prava Crna Gora,≤100,1
114861479884608,kiriacoulisyachting,These ads ran without a disclaimer,≤100,1
103588975196889,Stevan Katić - Demokrate Herceg Novi,Stevan Katic,≤100,1
189570767765273,Alma Edizioni,These ads ran without a disclaimer,≤100,1
135073411731685,BBBgamers LiveShow,These ads ran without a disclaimer,≤100,1
114983151609553,Street Insider Daily,These ads ran without a disclaimer,≤100,1
116981568944452,Knowledge Bucket,These ads ran without a disclaimer,≤100,1
1484566378531473,Yadea,These ads ran without a disclaimer,≤100,1
110844098701299,Justin Henderson,These ads ran without a disclaimer,≤100,1
114276288347550,Street Insider Journal,These ads ran without a disclaimer,≤100,1
1589154051350606,FOZ - Friends of Zion Museum,These ads ran without a disclaimer,≤100,1
100904822517086,Non-trivial,These ads ran without a disclaimer,≤100,1
1505333196415332,Côte d'Azur - школа французької мови,These ads ran without a disclaimer,≤100,1
177160902333590,Kiriacoulis Mediterranean,These ads ran without a disclaimer,≤100,1
