Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
1420588184916754,Aleksa Becic - Demokrate - Demokratska Crna Gora,Aleksa Becic - Demokrate - Demokratska Crna Gora,1593,16
120891932822500,За будућност Црне Горе,Za budućnost Crne Gore,755,45
100514562572464,Mi Možemo,Mi možemo,447,12
102730115711909,Pokret Evropa sad,Pokret Evropa sad,266,10
313006358903165,Građanski pokret URA,Građanski pokret URA,204,14
178671462179370,Demokratska partija socijalista Crne Gore,DPS Crne Gore,141,3
638633769597292,Nik Gjeloshaj,Nik Gjeloshaj,130,5
100204913096283,Aleanca Shqiptare MNE,Forca e Re Demokratike,≤100,12
75782787032,Pokret za Promjene,Pokret za Promjene,≤100,5
1496330687264500,Dritan Abazović,Dritan Abazović,≤100,2
819639921464707,Socijaldemokrate Crne Gore,Socijaldemokrate Crne Gore,≤100,6
101788005008282,Marko Milačić - Prava Crna Gora,Marko Milačić,≤100,14
100445002726288,Omer Bajraktari,Omer Bajraktari,≤100,7
106519341307340,Inicijativa Direktne Demokratije-IDD,Borislav Đurišić,≤100,2
1676159402708570,Hrvatska građanska inicijativa,Hrvatska građanska inicijativa,≤100,7
1508488476138038,Forca E Re Demokratike,Forca e Re Demokratike,≤100,2
119574804749171,Aktuelno,Aktuelno,≤100,1
513531212081016,NVO MANS,NVO MANS,≤100,2
104928285298833,Demokrate Nikšić,Demokrate Nikšić,≤100,1
106620772324031,Vladimir Martinović,Vladimir Martinovic,≤100,5
730136330426990,Bošnjačka stranka,Bošnjačka stranka,≤100,6
1594195590882320,DEMOS - Miodrag Lekić,DEMOS - Miodrag Lekić,≤100,2
58776108439,Socijaldemokratska partija Crne Gore - SDP,SDP - Za našu kuću,≤100,3
104087302472836,Pokret za Pljevlja - Prava Crna Gora,Pokret za Pljevlja - Prava Crna Gora,≤100,2
116109739824845,Vladislav Dajković,Vladislav Dajkovic,≤100,2
504480793004623,URA Ulqin,Građanski pokret URA,≤100,1
109846813775161,Glas Mrkojevića,Glas Mrkojevića,≤100,1
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,4
103588975196889,Stevan Katić - Demokrate Herceg Novi,Stevan Katic,≤100,1
100904822517086,Non-trivial,These ads ran without a disclaimer,≤100,3
367649046908008,Growatt New Energy,These ads ran without a disclaimer,≤100,1
102500518635499,ENTR en,These ads ran without a disclaimer,≤100,1
115575820139019,Af Fhyf,These ads ran without a disclaimer,≤100,1
398610380712044,River Cleanup,These ads ran without a disclaimer,≤100,3
139654236100628,يونيسف – اليمن UNICEF Yemen,These ads ran without a disclaimer,≤100,2
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,1
33949959457,Passport Magazine,These ads ran without a disclaimer,≤100,1
